time,temperature,setpoint
2024-06-30 00:23:57.866584,48.50,47.0
2024-06-30 00:24:02.873940,48.50,47.0
2024-06-30 00:24:07.881169,48.50,47.0
2024-06-30 00:24:12.888836,49.25,47.0
2024-06-30 00:24:17.895969,49.00,47.0
2024-06-30 00:24:22.903298,49.00,47.0
2024-06-30 00:24:27.911086,48.75,47.0
2024-06-30 00:24:32.918284,49.00,47.0
2024-06-30 00:24:37.925785,48.25,47.0
2024-06-30 00:24:42.933473,49.25,47.0
2024-06-30 00:24:47.940948,48.25,47.0
2024-06-30 00:24:52.948560,49.00,47.0
2024-06-30 00:24:57.956056,50.00,47.0
2024-06-30 00:25:02.963551,48.50,47.0
2024-06-30 00:25:07.971135,49.50,47.0
2024-06-30 00:25:12.978717,48.25,47.0
2024-06-30 00:25:17.986373,49.75,47.0
2024-06-30 00:25:22.993889,48.00,47.0
2024-06-30 00:25:28.001283,49.00,47.0
2024-06-30 00:25:33.008947,48.75,47.0
2024-06-30 00:25:38.016275,48.50,47.0
2024-06-30 00:25:43.023703,49.00,47.0
2024-06-30 00:25:48.031533,49.50,47.0
2024-06-30 00:25:53.039068,48.50,47.0
2024-06-30 00:25:58.046576,48.75,47.0
2024-06-30 00:26:03.054277,49.25,47.0
2024-06-30 00:26:08.061822,48.25,47.0
2024-06-30 00:26:13.069087,48.75,47.0
2024-06-30 00:26:18.076490,48.50,47.0
2024-06-30 00:26:23.084014,48.75,47.0
2024-06-30 00:26:28.091591,49.00,47.0
2024-06-30 00:26:33.099117,48.50,47.0
2024-06-30 00:26:38.107074,48.25,47.0
2024-06-30 00:26:43.114359,48.25,47.0
2024-06-30 00:26:48.121805,48.50,47.0
2024-06-30 00:26:53.129364,48.00,47.0
2024-06-30 00:26:58.136605,48.25,47.0
2024-06-30 00:27:03.143884,48.25,47.0
2024-06-30 00:27:08.151494,48.50,47.0
2024-06-30 00:27:13.159171,48.25,47.0
2024-06-30 00:27:18.166135,48.25,47.0
2024-06-30 00:27:23.173848,48.75,47.0
2024-06-30 00:27:28.181181,48.75,47.0
2024-06-30 00:27:33.188400,48.50,47.0
2024-06-30 00:27:38.195929,48.50,47.0
2024-06-30 00:27:43.203561,48.00,47.0
2024-06-30 00:27:48.211078,47.75,47.0
2024-06-30 00:27:53.218402,48.75,47.0
2024-06-30 00:27:58.225769,48.50,47.0
2024-06-30 00:28:03.232950,48.50,47.0
