time,temperature,setpoint,power
2024-08-21 16:24:59.241145,44.00,43.0,0.0
2024-08-21 16:25:17.104494,43.98,43.0,0.0
2024-08-21 16:25:34.967676,43.96,43.0,0.0
2024-08-21 16:25:52.831257,43.94,43.0,0.0
2024-08-21 16:26:10.694705,43.94,43.0,0.0
2024-08-21 16:26:28.558053,43.94,43.0,0.0
2024-08-21 16:26:46.421809,43.93,43.0,0.0
2024-08-21 16:27:04.285857,43.88,43.0,0.0
2024-08-21 16:27:22.149811,43.88,43.0,0.0
2024-08-21 16:27:40.013625,43.88,43.0,0.0
2024-08-21 16:27:57.877701,43.86,43.0,0.0
2024-08-21 16:28:15.741403,43.82,43.0,0.0
2024-08-21 16:28:33.605205,43.81,43.0,0.0
2024-08-21 16:28:51.469038,43.81,43.0,0.0
2024-08-21 16:29:09.332337,43.81,43.0,0.0
2024-08-21 16:29:27.196426,43.80,43.0,0.0
2024-08-21 16:29:45.060235,43.76,43.0,0.0
2024-08-21 16:30:02.923744,43.75,43.0,0.0
2024-08-21 16:30:20.787621,43.75,43.0,0.0
2024-08-21 16:30:38.651396,43.74,43.0,0.0
2024-08-21 16:30:56.515147,43.72,43.0,0.0
2024-08-21 16:31:14.378599,43.69,43.0,0.0
2024-08-21 16:31:32.242232,43.69,43.0,0.0
2024-08-21 16:31:50.105919,43.69,43.0,0.0
2024-08-21 16:32:07.969591,43.69,43.0,0.0
2024-08-21 16:32:25.833083,43.65,43.0,0.0
2024-08-21 16:32:43.696528,43.62,43.0,0.0
2024-08-21 16:33:01.560093,43.62,43.0,0.0
2024-08-21 16:33:19.423473,43.62,43.0,0.0
2024-08-21 16:33:37.286912,43.62,43.0,0.0
2024-08-21 16:33:55.150629,43.57,43.0,0.0
2024-08-21 16:34:13.013619,43.56,43.0,0.0
2024-08-21 16:34:30.877088,43.56,43.0,0.0
2024-08-21 16:34:48.740486,43.56,43.0,0.0
2024-08-21 16:35:06.603794,43.55,43.0,0.0
2024-08-21 16:35:24.467097,43.51,43.0,0.0
2024-08-21 16:35:42.330606,43.50,43.0,0.0
2024-08-21 16:36:00.194089,43.50,43.0,0.0
2024-08-21 16:36:18.057430,43.50,43.0,0.0
2024-08-21 16:36:35.920714,43.47,43.0,0.0
2024-08-21 16:36:53.783966,43.44,43.0,0.0
2024-08-21 16:37:11.647096,43.44,43.0,0.0
2024-08-21 16:37:29.510482,43.44,43.0,0.0
2024-08-21 16:37:47.373943,43.43,43.0,0.0
2024-08-21 16:38:05.237101,43.41,43.0,0.0
2024-08-21 16:38:23.100828,43.38,43.0,0.0
2024-08-21 16:38:40.963684,43.38,43.0,0.0
2024-08-21 16:38:58.827137,43.38,43.0,0.0
2024-08-21 16:39:16.690188,43.38,43.0,0.0
2024-08-21 16:39:34.553165,43.34,43.0,0.0
2024-08-21 16:39:52.416454,43.31,43.0,0.0
2024-08-21 16:40:10.279427,43.31,43.0,0.0
2024-08-21 16:40:28.142527,43.31,43.0,0.0
2024-08-21 16:40:46.005617,43.31,43.0,0.0
2024-08-21 16:41:03.868649,43.28,43.0,0.0
2024-08-21 16:41:21.731600,43.25,43.0,0.0
2024-08-21 16:41:39.594334,43.25,43.0,0.0
2024-08-21 16:41:57.457829,43.25,43.0,0.0
2024-08-21 16:42:15.321128,43.24,43.0,0.0
2024-08-21 16:42:33.184113,43.21,43.0,0.0
2024-08-21 16:42:51.047246,43.19,43.0,0.0
2024-08-21 16:43:08.910134,43.19,43.0,0.0
2024-08-21 16:43:26.773163,43.19,43.0,0.0
2024-08-21 16:43:44.635991,43.18,43.0,0.0
2024-08-21 16:44:02.499090,43.14,43.0,0.0
2024-08-21 16:44:20.362024,43.13,43.0,0.0
2024-08-21 16:44:38.224715,43.13,43.0,0.0
2024-08-21 16:44:56.087671,43.13,43.0,0.0
2024-08-21 16:45:13.950581,43.10,43.0,0.0
2024-08-21 16:45:31.813182,43.07,43.0,0.0
2024-08-21 16:45:49.675811,43.06,43.0,0.0
2024-08-21 16:46:07.538331,43.06,43.0,0.0
2024-08-21 16:46:25.400936,43.06,43.0,0.0
2024-08-21 16:46:43.263285,43.05,43.0,0.0
2024-08-21 16:47:01.125961,43.02,43.0,0.0
2024-08-21 16:47:18.988419,43.00,43.0,0.0
2024-08-21 16:47:36.851402,43.00,43.0,0.0
2024-08-21 16:47:54.714150,43.00,43.0,0.0
2024-08-21 16:48:12.576634,42.99,43.0,0.0
2024-08-21 16:48:30.439242,42.96,43.0,4.8
2024-08-21 16:48:48.301746,42.94,43.0,8.3
2024-08-21 16:49:06.164285,42.94,43.0,8.3
2024-08-21 16:49:24.026940,42.94,43.0,9.5
2024-08-21 16:49:41.889173,42.94,43.0,10.7
2024-08-21 16:49:59.751710,42.94,43.0,10.7
2024-08-21 16:50:17.613943,42.91,43.0,15.5
2024-08-21 16:50:35.476251,42.89,43.0,19.0
2024-08-21 16:50:53.338589,42.89,43.0,20.2
2024-08-21 16:51:11.201097,42.89,43.0,21.4
2024-08-21 16:51:29.063265,42.91,43.0,20.2
2024-08-21 16:51:46.925822,42.93,43.0,19.0
2024-08-21 16:52:04.788991,42.94,43.0,19.0
2024-08-21 16:52:22.652849,42.94,43.0,19.0
2024-08-21 16:52:40.516448,42.94,43.0,20.2
2024-08-21 16:52:58.380135,42.94,43.0,21.4
2024-08-21 16:53:16.243399,42.94,43.0,21.4
2024-08-21 16:53:34.106866,42.94,43.0,22.6
2024-08-21 16:53:51.970289,42.94,43.0,22.6
2024-08-21 16:54:09.833733,42.95,43.0,22.6
2024-08-21 16:54:27.697183,42.97,43.0,19.0
